benchmark,algorithm,n_PIs,n_FFs,d_seq,num_frames,bt_limit,total_faults,detected,init_failures,undetectable,aborted,coverage_%,verified_cov_%,test_vectors,total_bt,wall_time_s,peak_mem_MB
s27,ExtD_5val,4,3,3,2,10,34,30,0,0,4,88.24,91.18,30,66,0.0821,0.045
s27,9Val_Muth,4,3,3,2,10,34,34,0,0,0,100.0,100.0,34,0,0.1017,0.041
s27,ExtD_5val,4,3,3,2,50,34,34,0,0,0,100.0,100.0,34,146,0.1161,0.038
s27,9Val_Muth,4,3,3,2,50,34,34,0,0,0,100.0,100.0,34,0,0.1075,0.037
s27,ExtD_5val,4,3,3,8,10,34,30,0,0,4,88.24,91.18,30,114,0.3911,0.139
s27,9Val_Muth,4,3,3,8,10,34,34,0,0,0,100.0,100.0,34,0,0.5059,0.119
s27,ExtD_5val,4,3,3,8,50,34,30,0,0,4,88.24,91.18,30,218,0.6298,0.137
s27,9Val_Muth,4,3,3,8,50,34,34,0,0,0,100.0,100.0,34,0,0.504,0.114
s27,ExtD_5val,4,3,3,9,10,34,30,0,0,4,88.24,91.18,30,122,0.492,0.137
s27,9Val_Muth,4,3,3,9,10,34,34,0,0,0,100.0,100.0,34,0,0.6006,0.129
s27,ExtD_5val,4,3,3,9,50,34,30,0,0,4,88.24,91.18,30,218,0.7428,0.152
s27,9Val_Muth,4,3,3,9,50,34,34,0,0,0,100.0,100.0,34,0,0.6265,0.129
s298,ExtD_5val,3,14,7,2,10,272,164,0,0,108,60.29,58.09,164,3092,18.8331,0.392
s298,9Val_Muth,3,14,7,2,10,272,156,0,0,116,57.35,57.72,156,3706,33.5982,0.392
s298,ExtD_5val,3,14,7,2,50,272,166,0,0,106,61.03,58.09,166,7458,42.7087,0.356
s298,9Val_Muth,3,14,7,2,50,272,157,0,0,115,57.72,57.72,157,8415,74.1599,0.393
s298,ExtD_5val,3,14,7,8,10,272,272,0,0,0,100.0,95.59,272,0,75.4759,1.795
s298,9Val_Muth,3,14,7,8,10,272,244,0,1,27,89.71,98.16,244,1564,321.1233,2.226
s298,ExtD_5val,3,14,7,8,50,272,272,0,0,0,100.0,95.59,272,0,96.7893,1.795
s298,9Val_Muth,3,14,7,8,50,272,244,0,4,24,89.71,98.16,244,2584,215.5207,2.226
s298,ExtD_5val,3,14,7,9,10,272,272,0,0,0,100.0,95.59,272,0,235.1969,1.979
s298,9Val_Muth,3,14,7,9,10,272,243,0,1,28,89.34,98.16,243,1781,344.7768,2.439
s298,ExtD_5val,3,14,7,9,50,272,272,0,0,0,100.0,95.59,272,0,161.5816,1.979
s298,9Val_Muth,3,14,7,9,50,272,243,0,4,25,89.34,98.16,243,2849,245.6348,2.439
